age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note
33,Male,M.Sc,6.0,Senior,Enterprise,Tier-2,1.0,2.0,1,0.0,145185,57.0,2024-11-15,Worked on microservices deployment
29,Male,M.Sc,9.0,Junior,Enterprise,Remote,5.0,0.0,1,0.0,121262,50.0,2024-03-08,Built ML pipeline for preprocessing
34,Male,B.Sc+Cert,,Lead,Enterprise,Remote,5.0,1.0,1,5.0,184875,50.0,2024-09-01,Experience in data cleaning and ETL
39,Male,B.Sc,16.0,Mid,Enterprise,Tier-1,5.0,0.0,1,3.0,180105,59.0,2024-01-26,Contributed to open-source NLP repo
29,Female,B.Sc,8.0,Junior,SME,Tier-1,5.0,2.0,0,7.0,114750,,2023-12-08,Built ML pipeline for preprocessing
29,Female,B.Sc+Cert,7.0,Junior,Startup,Tier-3,5.0,3.0,1,0.0,88150,81.0,2023-09-17,Contributed to open-source NLP repo
39,Male,B.Sc,19.0,Mid,Enterprise,Tier-1,2.0,0.0,0,4.0,210347,62.0,2024-11-15,Built ML pipeline for preprocessing
35,Female,M.Sc,10.0,Mid,Enterprise,Tier-1,6.0,0.0,1,3.0,168940,61.0,2023-06-23,None
27,Male,M.Sc,4.0,Junior,Enterprise,Tier-3,5.0,0.0,1,2.0,74069,,2024-12-24,Worked on microservices deployment
33,Male,M.Sc,12.0,Junior,SME,Tier-2,7.0,0.0,0,1.0,117598,60.0,2023-07-14,Experience in data cleaning and ETL
27,Male,B.Sc+Cert,7.0,Senior,SME,Tier-2,4.0,2.0,1,1.0,111207,65.0,2024-03-16,Worked on microservices deployment
27,Male,PhD,1.0,Junior,Startup,Tier-1,9.0,4.0,1,4.0,71583,,2023-09-29,Contributed to open-source NLP repo
31,Female,M.Sc,4.0,Senior,Enterprise,Tier-2,4.0,0.0,1,3.0,128319,76.0,2023-11-03,No relevant project mentioned
20,Female,B.Sc,0.0,Mid,Startup,Tier-2,2.0,0.0,0,3.0,30883,43.0,2023-11-04,None
20,Male,B.Sc+Cert,0.0,Mid,Startup,Tier-1,5.0,0.0,1,0.0,49709,60.0,2024-10-10,Built ML pipeline for preprocessing
27,Male,B.Sc,0.0,Junior,SME,Tier-1,5.0,0.0,1,,42206,58.0,2024-08-17,Experience in data cleaning and ETL
24,Male,,0.0,Junior,SME,Tier-2,6.0,4.0,0,6.0,42325,66.0,2024-07-09,Built ML pipeline for preprocessing
32,Male,B.Sc+Cert,10.0,Senior,Startup,Remote,5.0,0.0,1,1.0,122308,73.0,2023-07-26,Built ML pipeline for preprocessing
25,Male,B.Sc,9.0,Junior,Enterprise,Remote,2.0,,1,4.0,110475,51.0,2023-04-27,No relevant project mentioned
22,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,,1.0,1,1.0,59600,57.0,2023-01-05,Worked on microservices deployment
39,Female,B.Sc,21.0,Mid,SME,Tier-3,4.0,,0,3.0,201222,59.0,2024-05-13,Built ML pipeline for preprocessing
29,Female,B.Sc+Cert,7.0,Junior,SME,Tier-3,6.0,0.0,1,0.0,89231,,2024-09-17,Built ML pipeline for preprocessing
30,Male,B.Sc,8.0,Mid,Enterprise,Tier-3,6.0,1.0,1,0.0,111120,,2023-10-28,Built ML pipeline for preprocessing
21,Female,M.Sc,0.0,Senior,Startup,Tier-2,5.0,0.0,1,1.0,60792,53.0,2024-02-29,Worked on microservices deployment
27,Male,B.Sc,10.0,Mid,Enterprise,Tier-1,6.0,2.0,0,2.0,138325,71.0,2023-03-31,Experience in data cleaning and ETL
31,Male,M.Sc,7.0,Senior,Startup,Tier-3,4.0,0.0,0,1.0,101384,62.0,2023-01-28,Contributed to open-source NLP repo
23,Male,M.Sc,0.0,Senior,SME,Tier-1,9.0,1.0,0,3.0,72060,51.0,2024-06-27,Experience in data cleaning and ETL
32,Male,B.Sc,11.0,Junior,SME,Tier-1,4.0,0.0,1,2.0,112714,57.0,2023-08-05,No relevant project mentioned
26,Female,B.Sc,4.0,Mid,Enterprise,Tier-2,6.0,0.0,0,6.0,80467,77.0,2023-03-12,Worked on microservices deployment
